Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,PE_Ratio,ROE,Sector
2025-06-12 00:00:00+05:30,1441.055094094315,1444.5251270006308,1422.1186530105915,1429.2569580078125,8828114,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-13 00:00:00+05:30,1411.8076840776937,1423.2092208521976,1402.1907840779525,1415.67431640625,9757276,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-16 00:00:00+05:30,1414.6828043278585,1430.050092219024,1412.204209506703,1425.489501953125,8458093,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-17 00:00:00+05:30,1435.602128554236,1435.602128554236,1413.5922548276174,1418.9459228515625,10366599,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-18 00:00:00+05:30,1417.7563491543892,1430.4468040463896,1413.4931173168031,1417.85546875,6681735,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-19 00:00:00+05:30,1417.8554020854735,1427.5715425014369,1413.4930508573852,1421.028076171875,10007230,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-20 00:00:00+05:30,1418.7477927518771,1458.4053131642288,1415.8725983169522,1453.6463623046875,29010635,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-23 00:00:00+05:30,1440.5593915455418,1451.266970188698,1429.6535737155343,1444.326904296875,5989078,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-24 00:00:00+05:30,1452.4565437947847,1462.3709229333156,1430.7440292763747,1438.378173828125,16402744,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-25 00:00:00+05:30,1451.4652666586912,1459.7933702625824,1447.9952335758323,1454.737060546875,7525851,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-26 00:00:00+05:30,1456.5214458748073,1485.9672251547677,1452.55569413543,1482.4971923828125,14657893,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-27 00:00:00+05:30,1486.5620421012081,1508.9685148979506,1484.0834473001275,1502.425048828125,11117052,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-06-30 00:00:00+05:30,1500.838885203447,1511.7447031481738,1483.191240482831,1487.7518310546875,8409527,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-01 00:00:00+05:30,1487.7518183386467,1518.2881567329412,1487.256099345396,1515.3138427734375,10368523,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-02 00:00:00+05:30,1515.3139235508756,1516.9002002088087,1495.7825215605471,1505.796142578125,6361002,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-03 00:00:00+05:30,1507.7788792727886,1518.783816287235,1500.0456148706696,1504.8045654296875,11283291,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-04 00:00:00+05:30,1510.9515946827762,1516.900223008299,1504.2097675037892,1514.223388671875,6603501,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-07 00:00:00+05:30,1513.5291857359532,1531.5734294639212,1511.9429091838053,1528.3016357421875,7251074,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-08 00:00:00+05:30,1522.8487819842126,1531.6726044702705,1517.0983931213486,1524.43505859375,7171261,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-09 00:00:00+05:30,1523.5426661942138,1537.7202774459709,1497.1704406377573,1505.9942626953125,8870660,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-10 00:00:00+05:30,1506.688311848956,1511.6455019531181,1494.5928164048603,1504.209716796875,10047129,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-11 00:00:00+05:30,1499.0542783474266,1502.0285923917668,1477.540121836759,1482.3980712890625,7234991,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-14 00:00:00+05:30,1479.4236826617216,1487.1569471972039,1466.4358695278945,1470.9964599609375,10311846,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-15 00:00:00+05:30,1473.4750846086956,1483.6869442622558,1469.7076928815193,1472.6820068359375,8132454,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-16 00:00:00+05:30,1460.388154594461,1478.234038357326,1458.9009976142222,1472.8802490234375,10409983,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-17 00:00:00+05:30,1474.6648507992907,1476.845965908467,1461.2804382949055,1463.759033203125,11854613,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-18 00:00:00+05:30,1472.0871292027396,1472.0871292027396,1456.521480639079,1463.3624267578125,10296318,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-21 00:00:00+05:30,1452.4566531183941,1463.362470991638,1410.9153771961905,1416.3682861328125,22442744,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
2025-07-22 00:00:00+05:30,1415.178583447059,1419.640054314783,1398.6214967228645,1400.70361328125,20396320,0.0,0.0,RELIANCE.NS,21.163374,0.09139,Energy
